OBJECTID,Shape_Leng,Tw_Avg_01_Mohseni,Tw_Avg_02_Mohseni,Tw_Avg_03_Mohseni,Tw_Avg_04_Mohseni,Tw_Avg_05_Mohseni,Tw_Avg_06_Mohseni,Tw_Avg_07_Mohseni,Tw_Avg_08_Mohseni,Tw_Avg_09_Mohseni,Tw_Avg_10_Mohseni,Tw_Avg_11_Mohseni,Tw_Avg_12_Mohseni,Slope,F01_Q0001E,F02_Q0001E,F03_Q0001E,F04_Q0001E,F05_Q0001E,F06_Q0001E,F07_Q0001E,F08_Q0001E,F09_Q0001E,F10_Q0001E,F11_Q0001E,F12_Q0001E,MA_Q0001E,PercMAD_01,PercMAD_02,PercMAD_03,PercMAD_04,PercMAD_05,PercMAD_06,PercMAD_07,PercMAD_08,PercMAD_09,PercMAD_10,PercMAD_11,PercMAD_12,F01_V0001E,F02_V0001E,F03_V0001E,F04_V0001E,F05_V0001E,F06_V0001E,F07_V0001E,F08_V0001E,F09_V0001E,F10_V0001E,F11_V0001E,F12_V0001E,HabSuit_08,HabRating_08,Length_km,Length_km_QW,UID,Reach_ID,Shape_Length,DS_Barrier,DS_Barrier_Name
1,4.31714314,1.407422344,1.47142807,2.023462567,2.619981963,3.440469449,6.331604574,8.667199212,7.838807379,6.435500372,3.823395119,2.045719948,1.313324448,5.049635672,7.724,6.568,2.017,0.397,3.182,7.335,7.707,7.641,6.692,6.538,5.715,6.592,5.156,149.8060512,127.3855702,39.11947246,7.699767261,61.71450737,142.261443,149.4763382,148.1962762,129.7905353,126.8037238,110.8417378,127.8510473,1.25877,1.18038,0.77425,0.50491,0.90184,1.23305,1.25766,1.25334,1.18908,1.17826,1.11829,1.18207,Excellent,1,4.31714314,4.31714314,21013,ReachID_021013,4317.14314,9,Soda_Springs
2,4.799953695,1.407422344,1.47142807,2.023462567,2.619981963,3.440469449,6.331604574,8.667199212,7.838807379,6.435500372,3.823395119,2.045719948,1.313324448,4.229207465,5.341,4.87,1.268,0.195,1.243,2.805,3.281,3.527,3.405,3.671,3.387,4.231,2.275,234.7692308,214.0659341,55.73626374,8.571428571,54.63736264,123.2967033,144.2197802,155.032967,149.6703297,161.3626374,148.8791209,185.978022,1.257769,1.228182,0.741292,0.462067,0.704118,0.916607,0.980883,1.014839,1.017361,1.05787,1.033679,1.137201,Excellent,1,4.799953695,4.799953695,80610,ReachID_080610,4799.953695,9,Soda_Springs
3,5.358600389,1.632641534,1.657140655,2.268135625,2.953670842,4.031069469,7.530774875,9.467798189,8.233349747,6.696754428,4.095818088,2.350453913,1.478852115,4.105549659,8.679,7.096,2.29,0.639,8.329,15.064,14.136,10.289,7.863,7.841,6.716,7.527,7.825,110.913738,90.68370607,29.26517572,8.166134185,106.4408946,192.5111821,180.6517572,131.4888179,100.485623,100.2044728,85.82747604,96.19169329,1.1958,1.1058,0.74578,0.53047,1.17661,1.49766,1.45818,1.27972,1.15047,1.14922,1.08284,1.13117,Excellent,1,5.358600389,5.358600389,89291,ReachID_089291,5358.600389,9,Soda_Springs
4,2.282722333,1.407422344,1.47142807,2.023462567,2.619981963,3.440469449,6.331604574,8.667199212,7.838807379,6.435500372,3.823395119,2.045719948,1.313324448,7.315826265,5.03,4.708,1.163,0.167,0.917,2.217,2.691,2.987,3.098,3.328,3.104,3.924,1.928,260.8921162,244.1908714,60.32157676,8.661825726,47.56224066,114.9896266,139.5746888,154.9273859,160.6846473,172.6141079,160.9958506,203.526971,1.37678,1.3399,0.79932,0.48356,0.74112,0.9999,1.07484,1.11851,1.13436,1.16637,1.13521,1.24481,Good,0.75,2.282722333,1.71204175,66837,ReachID_066837,2282.722333,9,Soda_Springs
5,0.96131795,1.407422344,1.47142807,2.023462567,2.619981963,3.440469449,6.331604574,8.667199212,7.838807379,6.435500372,3.823395119,2.045719948,1.313324448,14.97943526,7.059,6.102,1.81,0.332,2.332,5.624,6.139,6.264,5.73,5.69,5.041,5.917,4.183,168.7544824,145.8761654,43.27038011,7.936887401,55.74946211,134.4489601,146.7606981,149.748984,136.9830265,136.026775,120.5115945,141.4535023,1.47282,1.38613,0.87366,0.53809,0.95507,1.34045,1.3896,1.40123,1.35073,1.34686,1.28218,1.36866,Poor,0.1,0.96131795,0.096131795,18407,ReachID_018407,961.3179503,9,Soda_Springs
6,3.66240087,1.470740381,1.515439357,2.094382817,2.718491696,3.716191083,6.799827651,8.876272503,7.886902758,6.447481496,3.829913758,2.128306181,1.347945765,3.959151528,12.32,9.478,3.66,1.013,10.64,25.623,23.516,20.481,15.835,13.67,11.142,11.57,14.77,83.41232227,64.17061611,24.77995938,6.858496953,72.03791469,173.4800271,159.2146242,138.6662153,107.2105619,92.55247123,75.43669601,78.33446175,1.18538,1.07138,0.76874,0.54112,1.1197,1.60218,1.54455,1.4571,1.31042,1.23517,1.13981,1.15662,Excellent,1,3.66240087,3.66240087,3286,ReachID_003286,3662.40087,9,Soda_Springs
7,3.575268375,1.63946115,1.658738822,2.278833158,2.984240928,4.085978074,7.616131812,9.543052289,8.274332814,6.71303417,4.107672159,2.358948202,1.484163491,6.125414291,6.549,5.683,1.602,0.376,3.947,7.133,7.347,5.997,4.776,5.071,4.535,5.395,4.227,154.9325763,134.445233,37.8992193,8.89519754,93.37591673,168.7485214,173.8112136,141.8736693,112.9879347,119.9668796,107.2864916,127.6318902,1.29091,1.21963,0.77358,0.52385,1.05927,1.3365,1.35277,1.24603,1.13927,1.16613,1.11673,1.19481,Good,0.75,3.575268375,2.681451282,53791,ReachID_053791,3575.268375,9,Soda_Springs
8,0.725373158,1.687549106,1.679636361,2.337056059,3.079479123,4.228936304,7.868910429,9.722122847,8.374299587,6.802305552,4.160544089,2.412160873,1.518369772,6.203703504,6.549,5.683,1.602,0.376,3.947,7.133,7.347,5.997,4.776,5.071,4.535,5.395,4.227,154.9325763,134.445233,37.8992193,8.89519754,93.37591673,168.7485214,173.8112136,141.8736693,112.9879347,119.9668796,107.2864916,127.6318902,1.29091,1.21963,0.77358,0.52385,1.05927,1.3365,1.35277,1.24603,1.13927,1.16613,1.11673,1.19481,Good,0.75,0.725373158,0.544029868,61089,ReachID_061089,725.3731577,9,Soda_Springs
9,2.486910909,1.544033357,1.566300108,2.165028421,2.847374878,3.986178192,7.269109054,9.116275698,8.019521774,6.484805874,3.890018779,2.228316258,1.419818537,3.820000131,6.485,5.757,1.561,0.275,1.583,4.131,4.785,5.001,5,4.922,4.436,5.299,3.343,193.9874364,172.2105893,46.6945857,8.226144182,47.35267724,123.5716422,143.1349088,149.5961711,149.5662579,147.2330242,132.695184,158.5103201,1.25994,1.20164,0.75508,0.48605,0.75841,1.05731,1.11809,1.1373,1.13721,1.13032,1.08618,1.16317,Excellent,1,2.486910909,2.486910909,8238,ReachID_008238,2486.910909,9,Soda_Springs
10,7.086264932,1.470930071,1.481615008,2.088224305,2.687070512,3.899716933,7.027389608,8.902015409,7.807022751,6.378533407,3.77833088,2.14457127,1.291695379,4.882685072,10.528,8.289,2.931,0.683,5.776,14.721,14.67,13.973,12.081,10.542,8.815,9.484,9.836,107.0353802,84.27206181,29.79869866,6.943879626,58.72305815,149.6644978,149.1459943,142.0597804,122.8243188,107.1777145,89.61976413,96.42130948,1.261698,1.162342,0.782856,0.515008,0.920604,1.319986,1.334988,1.324654,1.273018,1.22066,1.147094,1.195072,Excellent,1,7.086264932,7.086264932,76508,ReachID_076508,7086.264932,9,Soda_Springs
